species,plant_date,plant_type,dbh,plot_size
Prunus cerasifera :: Cherry Plum,2008-04-21 00:00:00.000000 UTC,Tree,3,3x3
Pyrus kawakamii :: Evergreen Pear,2008-03-17 00:00:00.000000 UTC,Tree,3,3x3
Pyrus kawakamii :: Evergreen Pear,2008-03-17 00:00:00.000000 UTC,Tree,3,3x3
Pyrus kawakamii :: Evergreen Pear,2008-03-17 00:00:00.000000 UTC,Tree,3,3x3
Tree(s) ::,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Acer rubrum :: Red Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Acer rubrum :: Red Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Acer rubrum :: Red Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Acer rubrum :: Red Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Acer rubrum :: Red Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Lophostemon confertus :: Brisbane Box,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Lophostemon confertus :: Brisbane Box,2008-04-22 00:00:00.000000 UTC,Tree,3,3x3
Olea europaea :: Olive Tree,2007-07-27 00:00:00.000000 UTC,Tree,3,3x3
Olea europaea :: Olive Tree,2007-07-26 00:00:00.000000 UTC,Tree,3,3x3
Jacaranda mimosifolia :: Jacaranda,2007-04-13 00:00:00.000000 UTC,Tree,3,3x3
Lophostemon confertus :: Brisbane Box,2007-08-17 00:00:00.000000 UTC,Tree,3,3x3
Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,2007-07-19 00:00:00.000000 UTC,Tree,3,3x3
Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,2007-07-19 00:00:00.000000 UTC,Tree,15,3x3
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2006-08-07 00:00:00.000000 UTC,Tree,3,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-23 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2007-08-22 00:00:00.000000 UTC,Tree,6,4x4
Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,2010-07-21 00:00:00.000000 UTC,Tree,0,3X3
Pyrus kawakamii :: Evergreen Pear,2016-01-14 10:27:00.000000 UTC,Tree,3,2x2
Pyrus calleryana :: Ornamental Pear,2015-04-16 14:38:00.000000 UTC,Tree,3,5x9
Platanus x hispanica :: Sycamore: London Plane,2017-05-09 00:00:00.000000 UTC,Tree,3,3x4
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2017-05-09 00:00:00.000000 UTC,Tree,3,3x6
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2017-05-09 00:00:00.000000 UTC,Tree,3,3x6
Metrosideros excelsa :: New Zealand Xmas Tree,2016-01-19 11:32:00.000000 UTC,Tree,3,3X3
Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2015-06-25 13:32:00.000000 UTC,Tree,3,3x3
Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,2017-10-31 14:27:00.000000 UTC,Tree,3,3x3
Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,2016-01-23 04:50:00.000000 UTC,Landscaping,3,3x3
Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,2016-01-23 04:53:00.000000 UTC,Tree,3,3x3
Rhamnus alaternus :: Italian Buckthorn,2016-03-10 00:00:00.000000 UTC,Tree,2,3x3
Lophostemon confertus :: Brisbane Box,2016-03-23 14:11:00.000000 UTC,Tree,3,3x3
Rhamnus alaternus :: Italian Buckthorn,2016-08-12 11:10:00.000000 UTC,Tree,3,3x3
Rhamnus alaternus :: Italian Buckthorn,2016-03-24 07:26:00.000000 UTC,Tree,3,3x3
Rhamnus alaternus :: Italian Buckthorn,2016-03-24 00:00:00.000000 UTC,Tree,3,3x3
Platanus x hispanica :: Sycamore: London Plane,2016-12-09 00:00:00.000000 UTC,Tree,3,3x3
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2015-01-06 00:00:00.000000 UTC,Tree,3,3x3
Prunus serrulata :: Ornamental Cherry,2015-12-15 13:49:00.000000 UTC,Tree,3,4x4
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2017-05-09 00:00:00.000000 UTC,Tree,3,4x4
Prunus serrulata :: Ornamental Cherry,2016-04-25 00:00:00.000000 UTC,Tree,6,4x4
Pinus canariensis :: Canary Island Pine,2014-04-04 00:00:00.000000 UTC,Tree,22,14M
Tristaniopsis laurina :: Swamp Myrtle,2014-05-27 00:00:00.000000 UTC,Tree,1,1x4
Ulmus pumila :: Siberian Elm,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Pinus radiata :: Monterey Pine,2016-08-30 00:00:00.000000 UTC,Tree,3,14M
Pinus radiata :: Monterey Pine,2016-08-30 00:00:00.000000 UTC,Tree,3,14M
Pinus radiata :: Monterey Pine,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Syzygium paniculatum :: Brush Cherry,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Syzygium paniculatum :: Brush Cherry,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Tristaniopsis laurina :: Swamp Myrtle,2014-12-21 23:00:00.000000 UTC,Tree,3,2x2
Tristaniopsis laurina :: Swamp Myrtle,2015-09-25 14:24:00.000000 UTC,Tree,3,4x5
Acacia melanoxylon :: Blackwood Acacia,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Corymbia ficifolia :: Red Flowering Gum,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Cupressus macrocarpa :: Monterey Cypress,2016-08-30 00:00:00.000000 UTC,Tree,3,14M
Cupressus macrocarpa :: Monterey Cypress,2016-08-30 00:00:00.000000 UTC,Tree,3,14M
Cupressus macrocarpa :: Monterey Cypress,2016-08-30 00:00:00.000000 UTC,Tree,3,14M
Cupressus macrocarpa :: Monterey Cypress,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Cupressus macrocarpa :: Monterey Cypress,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Cupressus macrocarpa :: Monterey Cypress,2006-03-03 00:00:00.000000 UTC,Tree,3,6X6
Arbutus 'Marina' :: Hybrid Strawberry Tree,2013-03-09 00:00:00.000000 UTC,Tree,3,2X2
Arbutus 'Marina' :: Hybrid Strawberry Tree,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Arbutus 'Marina' :: Hybrid Strawberry Tree,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Arbutus 'Marina' :: Hybrid Strawberry Tree,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Arbutus 'Marina' :: Hybrid Strawberry Tree,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Arbutus 'Marina' :: Hybrid Strawberry Tree,2013-03-09 00:00:00.000000 UTC,Tree,3,6X6
Arbutus 'Marina' :: Hybrid Strawberry Tree,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Eucalyptus cinerea :: Ash-colored Eucalyptus,2002-12-23 00:00:00.000000 UTC,Tree,3,100
Liquidambar styraciflua :: American Sweet Gum,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Liquidambar styraciflua :: American Sweet Gum,2006-03-30 00:00:00.000000 UTC,Tree,3,6X6
Quercus suber :: Cork Oak,2006-03-12 00:00:00.000000 UTC,Tree,4,5x5
Quercus suber :: Cork Oak,2006-03-12 00:00:00.000000 UTC,Tree,4,5x5
Quercus suber :: Cork Oak,2005-06-09 00:00:00.000000 UTC,Tree,6,9x5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-06-27 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-05-26 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1996-03-29 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-05-26 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-06-27 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-06-27 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-05-26 00:00:00.000000 UTC,Tree,6,5X5
Metrosideros excelsa :: New Zealand Xmas Tree,1995-10-25 00:00:00.000000 UTC,Tree,6,5X5
Quercus suber :: Cork Oak,2005-06-09 00:00:00.000000 UTC,Tree,8,9x5
Liquidambar styraciflua :: American Sweet Gum,1991-09-05 00:00:00.000000 UTC,Tree,15,3x4
